,review,label
0,"I'm giving two stars simply because the capo does what it's intended to do to an extent. Otherwise, I'd give it one star. Yes, it holds down the strings so you can play in a higher key. However, the design on this capo is awful and I can't recommend it.

First of all, it is not adjustable, and out of the box, the spring tension is way tighter than it needs to be to get the job done. You need a fairly strong grip to spread it wide enough to install it. Once you do, the tension is so tight, it pulls the strings slightly, causing some tuning issues. The tension is so tight, if you have a chunky neck, you're going to have issues placing it higher than around the fifth fret.

Secondly, when installed, the darned thing is an eye hazard. I don't like how the two prongs stick up.

Thirdly, the bar that comes in contact with the strings is very narrow and tapers even more narrow toward the high E string. My guess is that from a design standpoint, their thought was that the skinnier strings need less surface area to hold them down. I'm not sure that I agree. The fact that I experienced string pulling/tuning issues leads me to believe they were wrong.

You can get a better capo for the same or less money.",0
1,"Yes, it is possible to tell the difference between this mic stand and, say, a Snicker's wrapper, but you have to have decent eyesight or be at close range.

In all seriousness, this is a very inexpensive mic stand, and might be the only one this cheap that is made of metal. Before you buy it on that fact (as I did), remember that tinfoil is also ""made of metal."" This stand will remind you more of tinfoil than the quality mic stands you may have used. Don't expect the stand to be heavy or to stay put once set up; it weighs less than some of my mics. It gives the ""I could bend this with my bare hands"" feeling.

Next issue: the paint on the threads binds with the mic clips you put on, and when trying to get them off, the entire thread tip of the stand twists inside the tubing that contains it. Unbelievable. I had to use pliers to grip the thread head just to get my mic off, and now the thread head is loose.

For cheap stands, I've had a couple of lightweight ProLine stands that have lasted a few years, and dollar for dollar I think DR Pro stands are pretty great. My advice is spend $70 on a mic stand if you're planning to use it for more than a week.

Two stars because it IS very, very inexpensive. Might be among the cheapest stands money can buy. And if you're going to put one lightweight mic on the end and never move it (or switch clips), I'd even recommend it. But if you're like me and put medium/large mics on a stand and move it from time to time, $30 is a lot to pay for a week's use out of a mic stand.",0
2,Far too slippery for my fingers when I shredding and the tip wears out way too fast as well.,0
3,"I tried to ignore the other reviews, but I had the same issues it stays out of tune most of the time. The fretboard feels very cheap in my opinion it feels like a mixture of fake wood and real wood. The max volume on this guitar is also significantly lower than the 3 other guitars I own as well. The neck pickup is also very close to the fretboard as well, which may affect the intonation as well. The strings are also cheap, but I was expecting that. The only thing this guitar got going is that it's really light-weight, it's lefty, and the guitar looks nice; but those are the only positive features. However if you want to spend $5 less and want a better cheaper guitar that's actually really good for the price, I recommend a guitar from ""Legacy""; that's still my favorite guitar and it shreds this guitar in my opinion, stay away from this guitar.",0
4,"I bought a set of 3 regular light gauge (.10) strings.  When I went to install the low E string, it must have been defective, because there was hardly any tension on the string I was winding when it broke just before the saddle.  I have included a picture of the break as a customer picture.  I was able to replace it with the low E string from the next set, however I'm still out a set of strings.  It isn't worth the hassle to return the pack, so I'm keeping them, but this'll probably be the last time I purchase from this brand.",0
5,"Stopped working after only 2 1/2 months.  Still has power (bought the power adapter), but suddenly last week the line in/out stopped working.  Tested all cables so it is somewhere inside of the unit.  Kills the signal whether it's active or bypassed, output A or direct output.  Just poor quality.",0
6,I had to disassemble them all when they came in. The plastic port hole covers were floating around inside the speaker.,0
7,"They're probably fine for standard 7 string tuning. However, on my Ibanez RG7 string they're incredibly loose and wobbly even when tuned down a half-step from standard. Bottom line if you're playing in anything other than standard don't even bother. Personally I don't even really like these anyway but they are not the worst strings for the price.",0
8,"This tuner didn't hold up over time.  Quit working after 1 year.  Also, it gets interference from loud audio sounds.
I would recommend just going with the boss tu-2 tuner. There's a reason you see everyone using it.",0
9,"Yes.  I saw the bad reviews on the 2nd Generation Scarlett devices.  Yes.  I waited until MAYBE new improved drivers came out (which did).  So when a good sale came up, I bit.

And I'm sorry to report that YES, this product is still broken in the driver dept.

First off.  Tech Support is useless, both in attitude and and technical understanding.  And they could care less whether you end the call with a broken product and trying to work things with you and a Level 10 tech God they may have locked up in the back room.

As it is, my Win8 PC is rock solid and works with other audio input devices.  The latest being an iRig Pro HD.  You plug it in, install the ASIO4ALL drivers and you're off and running.  My guitar signal goes to the iRig to PC to external speakers running off of my Creative sound card.

Interesting thing I learned from Tech Support is that you CANNOT run the 2i4 in this manner (guitar>iRig. PC>speakers).  With the 2i4, you have to go guitar>2i4> usb to PC and then external cable from 2i4 to PC speakers!  PITA if I want to use my sound card on my PC for anything else as I'll then need a splitter for the speakers and fussing in the settings to make the changes.

But guess what?.....Despite Tech Support's ineptitude, my tech skills got me to getting it to work hlaf way I guess.  I got sound out of it from the headphone oand Out ports in the back but the sound was WEAK in volume.  It was anemic versus the sound i got from my iRig Pro.

Yes.  Back it goes.  Drivers suck.  Tech Support sucks and the device isn't as as simple as my iRig to get guitar sound while not having to lose the ability to use my sound card for other things.

My observation lead me to witness  these new 2nd Gen. devices are going on sale like there's no tomorrow.  There's a reason for this!  Problems galore.  Buyer beware!

If you want sanity, go my route with the iRig or get the Steinberg and Behringer devices that get good reviews and BETTER drivers.  After all, without good drivers, the device becomes an expensive brick!",0
