,review,label
0,"Kitabı bugün 3. defa kaldığım yerden devam etmek için elime aldım. Ancak yine daha iyi anlamak için baştan başladım(3. defa). Hatta kararsızım okuyup okumamakta, çünkü bir türlü ilerleyemiyorum kitapta bayağı sıkıyor beni. Hadi bakalım inşallah bu sefer bitireceğim kitabı. Son yapılan yoruma istinaden umarım 140. sayfadan sonra ben de aynı düşüncelere sahip olurum.",0
1,Stefan zweig’in en sevdiğim özelliği basit cümlelerle karaktere dair çok etkileyici betimlemelerle yapması. Kadının korkusunun tasviri güzeldi,0
2,Her yerde karşıma çıktığı için almıştım .Normal buldum abartıldığı kadar beğenmedim.,0
3,"kitapların damağımızda bıraktığı tadı paylaşabileceğimiz bi yer olsa ...
ben fazlaca güzel bulmadın hele ''satranç'' düşünülünce
sınır tanımayan bi aşk değilde hastalık tadı aldım ...bencil bir kadın ,kendinden vazgeçebilirsin lakin başkası adına, çocuğu adına babasından vazgeçebilmek , çok sevmek , kendindeki hastalığı aramak, görmeden tatmin olmamak, kendini çok önemsemek gibi geldi, ben kadının kendine mutlak aşını gördüm
''insanların çoğu kaybetmekten korktuğu için...''
''Bilinç böyle korkak ediyor hepimizi:
Düşüncenin soluk ışığı bulandırıyor
Yürekten gelenin doğal rengini.''
vs vs diye başlayan kelimelerle mi anlatsak
ben tadını alamadım belli .yazarın ruh haline neden yazdığına yani yer altına inmek lazım ,,, böyle bir kaynak var mı ?bilen var...",0
4,Çocukken okumuş ve feci sıkılarak yarım bırakmıştım.Yıllar sonra tekrar baktığımda kitap hala aynıydı.,0
5,Övüldüğü kadar iyi değildi biraz hayal kırıklığına ugradım,0
6,Yazar kitapta farklı bir roman tarzı ve olay örgüsü denemiş. Bir otelde davetiye katılmış masadaki konukları teker teker ve ayrı ayrı ele almış. Bir yandan roman değil de sanki hikaye kitabı okuyor gibi hissediyorsunuz. Ya da yazdığı makaleleri bir olay etrafında birleştirmiş gibi... Bu sebeple başarılı bir tarz denemesi olmuş. Ama kitabın sürükleyiciliğini olumsuz etkilemiş. Yazarın diğer kitaplarına göre baya sönük kalıyor ve hayal kırıklığı yaşıyorsunuz. Ayrıca içerik olarak yazar çoğu yerde çuvallamış. Hiçbir yazar içinde büyüdüğü toplumun kültürüne bu kadar yabancı ve düşman olamaz. Yazar bir aydın olarak resmen halkı aşağılamış. Bir kaç yerde siyasetçilere aşırı şekilde hakaret ediyor ama yazar aynı zamanda bir siyasetçi. Toplumu eleştirdiği konular ise böyle bir yazar seviyesine yakışmamış. Çünkü eleştiriler bir ilkokul öğrencisinin yapabileceği türden çok çiğ eleştiriler. Sonuç olarak kitap okunmasa da çok bir şey kaybetmezsiniz.,0
7,Abartıldığı kadar da güzel değildi bence,0
8,herkes beğenmiş ancak çok sıkıcı bulduğum bir kitaptı. gerçekten 15-16 yaş için okunabilicek bir kitap değil.,0
9,içi resimli ve bir dönemin önemli büyük eseri,0
10,okurken çok sıkıldığım ve yarım bıraktığım kitaplardan biri,0
11,fazla sevemedim karışık biraz,0
12,hoş değil sıkıcı nasıl olurda çok satar anlamıyorum,0
13,Beklentimin altında oldu ama yinede güzeldi,0
14,Filmini de izlemisligim vardir bu kitabin ama yok. Fazla ucuk buldum ben.,0
15,40 öğüt dışında çok güncel işlenen eleştirel aşkı konu alan kitap,0
16,Çok etkili gelmedi bana okuma türümden farklı konu ne ne anlatmak istemiş pek anlamadım,0
17,Okuduğum ilk ve (muhtemelen) son Orhan Pamuk kitabı.,0
18,"İnsan doğasının acımasızlığını okumak, anlamak istiyorsanız Jack London bir numaradır. Bu kitabı ben beğenmedim.",0
